image_url,status,price,address,city_state,description,features,badges
,,"$699,000",110 LONG MEADOW,110 LONG MEADOW,"
                    For Sale, Single-Family","['3  bedrooms', '2,698  Sqft. ($259/Sqft.)', '2 full & 1  half baths', '1.1   Acres', '1  story']",[]
,,"$385,000",1101 COUNTRY VIEW DR,1101 COUNTRY VIEW DR,"
                    For Sale, Single-Family","['3  bedrooms', '1,398  Sqft. ($275/Sqft.)', '2  full baths', '1.6   Acres', '1  story']",[]
,,"$359,000",643 Southern Hills Dr,643 Southern Hills Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,828  Sqft. ($196/Sqft.)', '2  full baths', '0.1   Acres', '1  story', '2023  year built']",[]
,,"$325,000",3125 Frances Dr,3125 Frances Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,747  Sqft. ($186/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1968  year built']",[]
,,"$275,044",328 Havarty Way,328 Havarty Way,"
                    For Sale, Single-Family","['4  bedrooms', '1,459  Sqft. ($189/Sqft.)', '2  full baths', '1  story']",[]
,,"$313,990",455 WILSHIRE ROAD,455 WILSHIRE ROAD,"
                    For Sale, Single-Family","['3  bedrooms', '1,530  Sqft. ($205/Sqft.)', '2  full baths']",[]
,,"$624,900",28414 Allswell Lane,28414 Allswell Lane,"
                    For Sale, Single-Family","['4  bedrooms', '2,513  Sqft. ($249/Sqft.)', '3  full baths', '1  story']",[]
,,"$65,000",804 Percifield Trl,804 Percifield Trl,"
                    For Sale, Land / Unimproved Land",['0.5   Acres'],[]
,,"$395,000",315 Tin Top Estates Rd,315 Tin Top Estates Rd,"
                    For Sale, Residential - Single Family","['2  bedrooms', '1,917  Sqft. ($206/Sqft.)', '2  full baths', '2   Acres', '1  story', '1984  year built']",[]
,,"$260,000",3712 Kris St,3712 Kris St,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,236  Sqft. ($210/Sqft.)', '2  full baths', '0.3   Acres', '1  story', '1954  year built']",[]
,,"$329,241",5025 Chital Dr,5025 Chital Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,947  Sqft. ($169/Sqft.)', '2 full & 1  half baths', '5,000  lot Sqft.', '2  stories', '2023  year built']",[]
,,"$272,436",2002 Macarthur Hill,2002 Macarthur Hill,"
                    For Sale, Single-Family","['3  bedrooms', '1,340  Sqft. ($203/Sqft.)', '2  full baths', '1  story']",[]
,,"$245,000",1327 MCKINLEY AVE,1327 MCKINLEY AVE,"
                    For Sale, Single-Family","['4  bedrooms', '2,089  Sqft. ($117/Sqft.)', '2  full baths', '2  stories']",[]
,,"$219,000",13815 Landmark Hill,13815 Landmark Hill,"
                    For Sale, Single-Family","['3  bedrooms', '1,300  Sqft. ($168/Sqft.)', '2  full baths', '1  story']",[]
,,"$968,900",1924 Lotus Ct,1924 Lotus Ct,"
                    For Sale, Residential - Single Family","['5  bedrooms', '4,891  Sqft. ($198/Sqft.)', '4 full & 1  half baths', '0.4   Acres', '2  stories', '2023  year built']",[]
,,"$925,000",1905 Old Orchard Dr,1905 Old Orchard Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,619  Sqft. ($353/Sqft.)', '4 full & 1  half baths', '0.2   Acres', '2  stories', 'Private Pool', '1928  year built']",[]
,,"$690,000",246 CR 2732,246 CR 2732,"
                    For Sale, Single-Family","['3  bedrooms', '2,399  Sqft. ($288/Sqft.)', '2 full & 1  half baths', '5.0   Acres', '1  story']",[]
,,"$276,000",2005 Birch Bnd,2005 Birch Bnd,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,401  Sqft. ($197/Sqft.)', '2  full baths', '0.1   Acres', '1  story', '1993  year built']",[]
,,"$12,000,000",2000 Holford Rd,2000 Holford Rd,"
                    For Sale, Country Homes/Acreage",['49.5   Acres'],[]
,,"$405,000",535 Chambers Way Dr,535 Chambers Way Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,235  Sqft. ($181/Sqft.)', '3  full baths', '0.1   Acres', '1  story', '2023  year built']",[]
,,"$119,000",3304 Gorton Rd,3304 Gorton Rd,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,600  Sqft. ($74/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1970  year built']",[]
,,"$160,000",Lot 21 Meandering Way,Lot 21 Meandering Way,"
                    For Sale, Land / Unimproved Land",['0.9   Acres'],[]
,,"$360,000",4007 Villawood Trl,4007 Villawood Trl,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,187  Sqft. ($165/Sqft.)', '3  full baths', '0.1   Acres', '2  stories', '2020  year built']",[]
,,"$610,990",1603 Evening Primrose Dr,1603 Evening Primrose Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,427  Sqft. ($178/Sqft.)', '3 full & 1  half baths', '0.2   Acres', '2  stories', '2023  year built']",[]
,,"$164,000",8600 Coppertowne Ln #504,8600 Coppertowne Ln #504,"
                    For Sale, Residential - Condo","['1  bedrooms', '720  Sqft. ($228/Sqft.)', '1  full baths', '9.0   Acres', '1  story', 'Private Pool', '1982  year built']",[]
,,"$459,000",806 Percifield Trl,806 Percifield Trl,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,456  Sqft. ($187/Sqft.)', '2 full & 1  half baths', '1.3   Acres', '1  story', '1974  year built']",[]
,,"$539,000",4243 Clear Lake Cir,4243 Clear Lake Cir,"
                    For Sale, Residential - Townhouse","['3  bedrooms', '2,711  Sqft. ($199/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', 'Private Pool', '1979  year built']",[]
,,"$314,990",145 SCARBOROUGH WAY,145 SCARBOROUGH WAY,"
                    For Sale, Single-Family","['3  bedrooms', '1,530  Sqft. ($206/Sqft.)', '2  full baths']",[]
,,"$579,900",5509 Smokethorn Dr,5509 Smokethorn Dr,"
                    For Sale, Residential - Single Family","['5  bedrooms', '3,863  Sqft. ($150/Sqft.)', '4  full baths', '0.3   Acres', '2  stories', '2003  year built']",[]
,,"$354,900",713 Fox Den,713 Fox Den,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,146  Sqft. ($165/Sqft.)', '3  full baths', '0.2   Acres', '2  stories', '2011  year built']",[]
,,"$85,750",911 Vance Jackson K207,911 Vance Jackson K207,"
                    For Sale, Townhouse/Condo","['1  bedrooms', '664  Sqft. ($129/Sqft.)', '1  full baths', '2  stories']",[]
,,"$400,000",1400 Darlington Ln,1400 Darlington Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,112  Sqft. ($189/Sqft.)', '3  full baths', '0.2   Acres', '1  story', '2017  year built']",[]
,,"$329,800",149 STRIBLING,149 STRIBLING,"
                    For Sale, Single-Family","['2  bedrooms', '880  Sqft. ($375/Sqft.)', '2  full baths', '1  story']",[]
,,"$271,000",805 Sage Cir,805 Sage Cir,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,392  Sqft. ($195/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '2003  year built']",[]
,,"$298,033",5045 Chital Dr,5045 Chital Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,337  Sqft. ($223/Sqft.)', '2  full baths', '5,000  lot Sqft.', '1  story', '2023  year built']",[]
,,"$700,000",923 County Road 2650,923 County Road 2650,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,962  Sqft. ($236/Sqft.)', '4 full & 1  half baths', '15.6   Acres', '1  story', 'Private Pool', '1987  year built']",[]
,,"$808,179",7753 Pondview Ln,7753 Pondview Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,008  Sqft. ($269/Sqft.)', '4 full & 1  half baths', '0.2   Acres', '1  story', '2022  year built']",[]
,,"$250,000",739 Rolling Ridge Ln,739 Rolling Ridge Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,259  Sqft. ($199/Sqft.)', '2  full baths', '11,365  lot Sqft.', '1  story', '1966  year built']",[]
,,"$544,000",10470 Coleridge St,10470 Coleridge St,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,444  Sqft. ($223/Sqft.)', '3  full baths', '0.3   Acres', '1  story', '1964  year built']",[]
,,"$245,900",311 Thomas St,311 Thomas St,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,252  Sqft. ($196/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '2020  year built']",[]
,,"$287,500",818 Bandera Ln,818 Bandera Ln,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,264  Sqft. ($227/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1962  year built']",[]
,,"$229,900",1837 Bandolero Rd,1837 Bandolero Rd,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,270  Sqft. ($181/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '2023  year built']",[]
,,"$330,000",7208 McCoy Dr,7208 McCoy Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,732  Sqft. ($191/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1987  year built']",[]
,,"$399,990",5618 Chase Falls,5618 Chase Falls,"
                    For Sale, Single-Family","['4  bedrooms', '2,161  Sqft. ($185/Sqft.)', '2 full & 1  half baths', '2  stories']",[]
,,"$575,000",1809 Quail Hollow Dr,1809 Quail Hollow Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,307  Sqft. ($249/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', 'Private Pool', '1993  year built']",[]
,,"$377,142",112 SCARBOROUGH WAY,112 SCARBOROUGH WAY,"
                    For Sale, Single-Family","['4  bedrooms', '2,380  Sqft. ($158/Sqft.)', '2 full & 1  half baths']",[]
,,"$862,900",1913 Lotus Ct,1913 Lotus Ct,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,334  Sqft. ($259/Sqft.)', '3 full & 1  half baths', '0.4   Acres', '1  story', '2023  year built']",[]
,,"$238,366",3623 Strawberry Grove,3623 Strawberry Grove,"
                    For Sale, Single-Family","['3  bedrooms', '1,340  Sqft. ($178/Sqft.)', '2  full baths', '1  story']",[]
,,"$199,500",3173 Private Road 5113,3173 Private Road 5113,"
                    ","['3  bedrooms', '1,680  Sqft. ($119/Sqft.)', '2  full baths', '1.7   Acres', '1  story', 'Private Pool', '2022  year built']",[]
,,"$350,000",7223 Fm 2494,7223 Fm 2494,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,459  Sqft. ($142/Sqft.)', '3  full baths', '1.3   Acres', '1  story', '1970  year built']",[]
,,"$265,000",909 Longbeach Dr,909 Longbeach Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '938  Sqft. ($283/Sqft.)', '1 full & 1  half baths', '6,935  lot Sqft.', '1  story', '1971  year built']",[]
,,"$599,000",301 QUEEN ANNE CT,301 QUEEN ANNE CT,"
                    For Sale, Single-Family - Historic","['3  bedrooms', '1,899  Sqft. ($315/Sqft.)', '2  full baths', '1  story']",[]
,,"$70,000",204 ORPHAN,204 ORPHAN,"
                    For Sale, Lots","['3,268  Sqft. ($21/Sqft.)', '0.1   Acres']",[]
,,"$929,000",724 Highland Ct,724 Highland Ct,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,950  Sqft. ($315/Sqft.)', '3  full baths', '1.9   Acres', '2  stories', 'Private Pool', '1995  year built']",[]
,,"$242,592",7658 Stud Dr,7658 Stud Dr,"
                    For Sale, Single-Family","['4  bedrooms', '1,459  Sqft. ($166/Sqft.)', '2  full baths', '1  story']",[]
,,"$339,900",314 STONE PARK,314 STONE PARK,"
                    For Sale, Single-Family","['5  bedrooms', '3,124  Sqft. ($109/Sqft.)', '2 full & 1  half baths', '2  stories']",[]
,,"$255,000",2609 Devon Rd,2609 Devon Rd,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,466  Sqft. ($103/Sqft.)', '2  full baths', '0.5   Acres', '1  story', '1957  year built']",[]
,,"$649,900",4955 FM 1650,4955 FM 1650,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,167  Sqft. ($300/Sqft.)', '2  full baths', '14.8   Acres', '1  story', '2015  year built']",[]
,,"$786,306",7700 Pondview Ln,7700 Pondview Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,980  Sqft. ($264/Sqft.)', '4 full & 1  half baths', '0.2   Acres', '1  story', '2022  year built']",[]
,,"$227,000",2708 WILSON,2708 WILSON,"
                    For Sale, Multi-Family","['1,683  Sqft. ($135/Sqft.)']",[]
,,"$1,199,000",111 Tin Top Estates Rd,111 Tin Top Estates Rd,"
                    For Sale, Residential - Single Family","['2  bedrooms', '1,650  Sqft. ($727/Sqft.)', '1  full baths', '5.1   Acres', '1  story', 'Private Pool', '2019  year built']",[]
,,"$749,000",1401 Hartfield Rd,1401 Hartfield Rd,"
                    For Sale, Single-Family","['4  bedrooms', '2,550  Sqft. ($294/Sqft.)', '2 full & 1  half baths', '3.5   Acres']",[]
,,"$399,000",706 Odenville Dr,706 Odenville Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,306  Sqft. ($173/Sqft.)', '2 full & 1  half baths', '0.2   Acres', '2  stories', '2004  year built']",[]
,,"$329,000",7544 AUTUMN PARK,7544 AUTUMN PARK,"
                    For Sale, Single-Family","['3  bedrooms', '2,093  Sqft. ($157/Sqft.)', '2 full & 1  half baths', '2  stories']",[]
,,"$125,000",5150 Velma Dr,5150 Velma Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,426  Sqft. ($88/Sqft.)', '2  full baths', '0.1   Acres', '1  story', '1961  year built']",[]
,,"$299,850",1014 Oxford Dr,1014 Oxford Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,669  Sqft. ($180/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1999  year built']",[]
,,"$305,000",6972 Carrington Ln,6972 Carrington Ln,"
                    For Sale, Residential - Townhouse","['2  bedrooms', '1,491  Sqft. ($205/Sqft.)', '2 full & 1  half baths', '0.0   Acres', '2  stories', '2016  year built']",[]
,,"$383,990",1315 PLYMOUTH ROAD,1315 PLYMOUTH ROAD,"
                    For Sale, Single-Family","['4  bedrooms', '2,473  Sqft. ($155/Sqft.)', '3  full baths']",[]
,,"$846,765",3828 Yellow Orchid Ln,3828 Yellow Orchid Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,701  Sqft. ($229/Sqft.)', '4 full & 1  half baths', '0.2   Acres', '2  stories', '2023  year built']",[]
,,"$384,000",3415-17 Ridge Smoke,3415-17 Ridge Smoke,"
                    For Sale, Multi-Family","['2,259  Sqft. ($170/Sqft.)']",[]
,,"$419,990",8422 Flint Meadows,8422 Flint Meadows,"
                    For Sale, Single-Family","['4  bedrooms', '2,181  Sqft. ($193/Sqft.)', '3  full baths', '1  story']",[]
,,"$680,000",196 CR 2732,196 CR 2732,"
                    For Sale, Single-Family","['3  bedrooms', '2,375  Sqft. ($286/Sqft.)', '2 full & 1  half baths', '5.5   Acres', '1  story']",[]
,,"$335,000",4004 Tulip Tree Dr,4004 Tulip Tree Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,662  Sqft. ($202/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '1992  year built']",[]
,,"$129,900",423 Kaci Jo Dr,423 Kaci Jo Dr,"
                    For Sale, Residential - Mobile","['4  bedrooms', '1,376  Sqft. ($94/Sqft.)', '2  full baths', '10,057  lot Sqft.', '1  story', '2002  year built']",[]
,,"$365,000",704 Canyon Lake Ct,704 Canyon Lake Ct,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,068  Sqft. ($177/Sqft.)', '2  full baths', '0.3   Acres', '1  story', '2020  year built']",[]
,,"$315,000",314 Ariel Ln,314 Ariel Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,846  Sqft. ($171/Sqft.)', '2  full baths', '0.1   Acres', '1  story', '2020  year built']",[]
,,"$230,000",12310 SIRAGUSA,12310 SIRAGUSA,"
                    For Sale, Single-Family","['3  bedrooms', '1,381  Sqft. ($167/Sqft.)', '2 full & 1  half baths', '2  stories']",[]
,,"$239,900",9330 Valley Way Dr,9330 Valley Way Dr,"
                    For Sale, Single-Family","['3  bedrooms', '1,350  Sqft. ($178/Sqft.)', '2  full baths', '1  story']",[]
,,"$519,000",2251 Woodcreek St,2251 Woodcreek St,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,093  Sqft. ($248/Sqft.)', '3  full baths', '0.2   Acres', '1  story', '1978  year built']",[]
,,"$375,000",101 STONE CREEK CIR,101 STONE CREEK CIR,"
                    For Sale, Single-Family","['3  bedrooms', '1,679  Sqft. ($223/Sqft.)', '2  full baths', '1  story']",[]
,,"$399,000",1805 Kandy Ln,1805 Kandy Ln,"
                    For Sale, Residential - Single Family","['2  bedrooms', '1,640  Sqft. ($243/Sqft.)', '2  full baths', '1.3   Acres', '1  story', '2011  year built']",[]
,,"$660,000",2728 E Highway 34,2728 E Highway 34,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,432  Sqft. ($271/Sqft.)', '2  full baths', '16.4   Acres', '1  story', '1952  year built']",[]
,,"$684,900",192 Shoreview Dr,192 Shoreview Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,334  Sqft. ($205/Sqft.)', '3 full & 1  half baths', '0.2   Acres', '1  story', '2023  year built']",[]
background-image:url('https://photos.harstatic.com/277052089/lr/img-1.jpeg?ts=2023-08-25T15:07:13.400');,,"$656,900",3161 Bee Hill,3161 Bee Hill,"
                    For Sale, Single-Family","['4  bedrooms', '2,737  Sqft. ($240/Sqft.)', '3 full & 1  half baths', '1  story']",[]
background-image:url('https://photos.harstatic.com/277052088/lr/img-1.jpeg?ts=2023-08-25T15:07:13.400');,,"$344,990",237 FAIRFAX AVE,237 FAIRFAX AVE,"
                    For Sale, Single-Family","['4  bedrooms', '1,854  Sqft. ($186/Sqft.)', '3 full & 1  half baths']",[]
background-image:url('https://listingmedia7.harstatic.com/430912177/lr/1.jpeg');,,"$1,468,730",2216 Zaide Way,2216 Zaide Way,"
                    For Sale, Residential - Single Family","['5  bedrooms', '4,532  Sqft. ($324/Sqft.)', '4 full & 1  half baths', '0.3   Acres', '1.5  stories', '2022  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430912169/lr/1.jpeg');,,"$127,000",1421 Highway 81 N,1421 Highway 81 N,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,344  Sqft. ($94/Sqft.)', '1  full baths', '1.5   Acres', '1  story', '1941  year built']",[]
background-image:url('https://photos.harstatic.com/277052087/lr/img-1.jpeg?ts=2023-08-25T15:07:13.400');,,"$975,000",1233 SADDLEBACK RIDGE TRL,1233 SADDLEBACK RIDGE TRL,"
                    For Sale, Single-Family","['3  bedrooms', '2,143  Sqft. ($455/Sqft.)', '2  full baths', '6.3   Acres', '1  story', 'Private Pool']",[]
background-image:url('https://listingmedia7.harstatic.com/430910746/lr/1.jpeg');,,"$7,458,660",TBD 124+/- County Road 4550,TBD 124+/- County Road 4550,"
                    For Sale, Land / Unimproved Land",['124.3   Acres'],[]
background-image:url('https://listingmedia7.harstatic.com/430863164/lr/1.jpeg');,,"$418,600",000 County Road 210,000 County Road 210,"
                    For Sale, Country Homes/Acreage",['161   Acres'],[]
background-image:url('https://content.harstatic.com/media/icons/artwork/no_photo_placeholder__large.svg');,,"$475,000",1519 Cordillera Trace,1519 Cordillera Trace,"
                    For Sale, Lots",['4.4   Acres'],[]
background-image:url('https://listingmedia7.harstatic.com/430908612/lr/1.jpeg');,,"$2,399,900",2631 Round Table Blvd,2631 Round Table Blvd,"
                    For Sale, Residential - Single Family","['6  bedrooms', '6,409  Sqft. ($374/Sqft.)', '5 full & 1  half baths', '0.6   Acres', '3  stories', 'Private Pool', '2006  year built']",[]
,,"$46,408",147 County Road 210,147 County Road 210,"
                    For Sale, Land / Unimproved Land",['4.9   Acres'],[]
,,"$145,000",709 Calvert St,709 Calvert St,"
                    For Sale, Residential - Single Family","['2  bedrooms', '1,143  Sqft. ($127/Sqft.)', '2  full baths', '0  lot Sqft.', '1  story', '1972  year built']",[]
,,"$682,000",407 Erie Cir,407 Erie Cir,"
                    For Sale, Residential - Single Family","['5  bedrooms', '3,256  Sqft. ($209/Sqft.)', '3  full baths', '0.2   Acres', '2  stories', '2021  year built']",[]
,,"$295,000",67 Cordillera Springs,67 Cordillera Springs,"
                    For Sale, Lots",['2.9   Acres'],[]
,,"$349,900",303 Hazeltine Rd,303 Hazeltine Rd,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,002  Sqft. ($175/Sqft.)', '2  full baths', '0.1   Acres', '1  story', '2023  year built']",[]
,,"$450,000",11255 Prairie Lakes Ln,11255 Prairie Lakes Ln,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,027  Sqft. ($222/Sqft.)', '2  full baths', '1   Acres', '1  story', '2001  year built']",[]
,,"$1,439,500",3725 Durango Dr,3725 Durango Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '4,516  Sqft. ($319/Sqft.)', '5  full baths', '0.2   Acres', '2  stories', '2023  year built']",[]
,,"$1,850,000",2212 Ridge Crest Dr,2212 Ridge Crest Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '4,275  Sqft. ($433/Sqft.)', '4  full baths', '0.3   Acres', '2  stories', '2023  year built']",[]
,,"$899,900",4122 Maison Ridge,4122 Maison Ridge,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,314  Sqft. ($389/Sqft.)', '2 full & 2  half baths', '0.1   Acres', '3  stories', '2022  year built']",[]
,,"$799,000",18 Ridgewood Dr,18 Ridgewood Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,944  Sqft. ($203/Sqft.)', '3 full & 1  half baths', '0.3   Acres', '2  stories', '2001  year built']",[]
,,"$250,000",307 Washington St,307 Washington St,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,855  Sqft. ($88/Sqft.)', '2 full & 1  half baths', '0.5   Acres', '1  story', '1964  year built']",[]
,,"$714,900",247 Wapiti Dr,247 Wapiti Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,529  Sqft. ($283/Sqft.)', '2  full baths', '2.0   Acres', '1  story', 'Private Pool', '2015  year built']",[]
,,"$338,000",10684 County Road 358,10684 County Road 358,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,961  Sqft. ($172/Sqft.)', '2  full baths', '0.7   Acres', '1  story', '1968  year built']",[]
,,"$566,000",8181 Hunnicut Rd,8181 Hunnicut Rd,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,763  Sqft. ($321/Sqft.)', '2  full baths', '0.3   Acres', '1  story', '1957  year built']",[]
,,"$260,000",328 COYOL ST,328 COYOL ST,"
                    For Sale, Single-Family","['4  bedrooms', '1,398  Sqft. ($186/Sqft.)', '2  full baths', '1  story']",[]
,,"$50,000",1106 N Border St #1106,1106 N Border St #1106,"
                    For Sale, Land / Unimproved Land","['0.3   Acres', '9999  year built']",[]
,,"$3,150,000",2626 Fm 816,2626 Fm 816,"
                    For Sale, Land / Unimproved Land",['252.2   Acres'],[]
,,"$230,000",2341 Dakota St,2341 Dakota St,"
                    For Sale, Single-Family","['3  bedrooms', '1,194  Sqft. ($193/Sqft.)', '2  full baths', '1  story']",[]
,,"$514,990",3012 Brittlebush Dr,3012 Brittlebush Dr,"
                    For Sale, Residential - Single Family","['5  bedrooms', '3,983  Sqft. ($129/Sqft.)', '3 full & 1  half baths', '0.2   Acres', '2  stories', '2023  year built']",[]
,,"$995,000",3316 Galahad Dr,3316 Galahad Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,850  Sqft. ($349/Sqft.)', '3  full baths', '0.2   Acres', '2  stories', '1960  year built']",[]
,,"$689,000",2613 Old Stables Dr,2613 Old Stables Dr,"
                    For Sale, Residential - Single Family","['5  bedrooms', '4,152  Sqft. ($166/Sqft.)', '4  full baths', '0.2   Acres', '2  stories', '2010  year built']",[]
,,"$335,000",1801 Fairweather Dr,1801 Fairweather Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,615  Sqft. ($207/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '2007  year built']",[]
,,"$220,000",925 Indian Hills Dr,925 Indian Hills Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,050  Sqft. ($210/Sqft.)', '1  full baths', '0.2   Acres', '1  story', '1952  year built']",[]
,,"$424,999",9721 Novacek Blvd,9721 Novacek Blvd,"
                    For Sale, Single-Family","['4  bedrooms', '2,743  Sqft. ($155/Sqft.)', '3 full & 1  half baths', '2  stories']",[]
,,"$325,000",13419 HEATHFIELD,13419 HEATHFIELD,"
                    For Sale, Single-Family","['3  bedrooms', '1,864  Sqft. ($174/Sqft.)', '2  full baths', '1  story', 'Private Pool']",[]
,,"$315,000",101 Crofton Ct,101 Crofton Ct,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,742  Sqft. ($181/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1977  year built']",[]
,,"$819,900",4241 Walnut Grove Ln,4241 Walnut Grove Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,518  Sqft. ($326/Sqft.)', '3  full baths', '0.2   Acres', '1  story', '2021  year built']",[]
,,"$635,000",921 Sandy Hl,921 Sandy Hl,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,983  Sqft. ($159/Sqft.)', '3 full & 1  half baths', '0.2   Acres', '2  stories', '2016  year built']",[]
,,"$274,900",309 Stone Gate Dr,309 Stone Gate Dr,"
                    For Sale, Single-Family","['3  bedrooms', '2,029  Sqft. ($135/Sqft.)', '2 full & 1  half baths', '2  stories']",[]
,,"$282,520",225 ST EDMUNDS Way,225 ST EDMUNDS Way,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,925  Sqft. ($147/Sqft.)', '2  full baths', '0.3   Acres', '1  story', '2023  year built']",[]
,,"$405,930",3324 Celestial Ln,3324 Celestial Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,055  Sqft. ($198/Sqft.)', '2 full & 1  half baths', '0.1   Acres', '2  stories', '2023  year built']",[]
,,"$767,000",2311 Auburn Ct,2311 Auburn Ct,"
                    For Sale, Residential - Single Family","['4  bedrooms', '4,062  Sqft. ($189/Sqft.)', '3 full & 1  half baths', '0.3   Acres', '2  stories', '2001  year built']",[]
,,"$214,900",3 Cross Canyon,3 Cross Canyon,"
                    For Sale, Single-Family","['2  bedrooms', '1,015  Sqft. ($212/Sqft.)', '2 full & 1  half baths', '2  stories']",[]
,,"$29,500",10728 Woodchuck Rd,10728 Woodchuck Rd,"
                    For Sale, Land / Unimproved Land","['108,900  lot Sqft.']",[]
,,"$339,990",240 FAIRFAX AVE,240 FAIRFAX AVE,"
                    For Sale, Single-Family","['4  bedrooms', '1,854  Sqft. ($183/Sqft.)', '3 full & 1  half baths']",[]
,,"$640,000",203 Cedar Rock Ct,203 Cedar Rock Ct,"
                    For Sale, Residential - Single Family","['4  bedrooms', '3,490  Sqft. ($183/Sqft.)', '3 full & 1  half baths', '0.2   Acres', '2  stories', 'Private Pool', '2013  year built']",[]
,,"$155,000",138 GAGE ST,138 GAGE ST,"
                    For Sale, Single-Family","['3  bedrooms', '1,280  Sqft. ($121/Sqft.)', '1  full baths', '1  story']",[]
,,"$699,000",7600 Vista Bella Way,7600 Vista Bella Way,"
                    For Sale, Residential - Condo","['3  bedrooms', '2,520  Sqft. ($277/Sqft.)', '2 full & 1  half baths', '24.3   Acres', '1  story', '2021  year built']",[]
,,"$79,500",320 SW 18th St,320 SW 18th St,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,689  Sqft. ($47/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1964  year built']",[]
